0   759	860	793	833	869	914	989	1004	1018	923	991 1101    1138	1192	1129	1263	1221	1337	1567	1514	1311	1576	1493	1442	1621	1924	1749	1902	1945

263	2	1	1	0	0	0	0	0	0	0	1	1	1	1	2	2	1	1	3	2	4	3	3	2	4	3	3	5	4	

274	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

276	8	7	6	6	7	7	7	6	6	6	6	5	7	9	7	6	6	6	8	10	9	7	8	7	8	8	8	10	7	

278	2	1	1	1	2	1	0	1	3	3	1	1	2	2	3	2	0	0	2	2	1	2	3	3	2	1	1	1	3	

290	5	5	6	7	6	5	6	8	7	5	6	7	8	10	8	9	11	10	11	12	11	11	12	11	11	9	11	9	9	

296	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	

307	2	2	1	2	1	1	0	1	1	1	1	0	1	2	1	2	1	2	1	2	2	2	2	2	2	3	4	7	4	

330	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	3	2	3	4	4	5	5	

333	2	3	2	2	2	2	2	1	2	2	3	2	3	9	10	5	1	2	9	9	6	3	2	2	3	4	6	5	4	

338	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

341	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	2	1	1	1	2	2	2	3	3	

343	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	2	2	2	2	3	2	2	2	2	3	2	3	

361	3	2	3	2	2	1	2	2	3	1	2	1	2	2	2	1	1	1	2	2	2	1	2	2	2	2	4	2	4	

372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

378	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	

384	3	2	2	2	2	2	1	2	2	1	2	2	2	1	2	2	1	3	2	2	3	3	3	3	3	3	4	3	5	

415	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	4	8	10	10	9	9	9	7	7	7	

430	5	5	5	5	5	5	5	4	4	5	5	5	4	5	6	5	3	5	6	5	5	5	5	4	4	5	5	5	5	

431	4	4	4	4	3	3	3	3	3	3	4	3	4	5	4	3	4	4	4	4	4	5	4	4	5	4	5	6	4	

442	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	

455	1	0	0	1	0	0	1	0	0	0	0	1	0	2	1	3	3	2	2	2	2	2	2	2	2	5	3	5	5	

475	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

486	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

499	5	4	3	4	6	6	6	4	4	5	5	6	6	5	5	3	3	4	7	9	6	4	3	6	8	7	6	6	7	

506	4	5	4	4	4	4	4	4	4	5	3	5	4	5	3	3	4	4	5	3	5	3	4	4	5	5	4	3	5	

511	6	3	3	4	8	5	4	3	4	5	6	5	5	6	5	4	3	4	7	6	3	2	4	6	5	3	4	5	4	

515	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	

538	4	4	4	4	5	4	4	4	3	5	4	4	5	3	4	4	4	4	3	4	5	3	4	4	4	5	4	5	5	

596	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

610	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	3	3	2	2	2	4	4	3	

650	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

661	2	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	2	2	1	2	1	

669	3	4	3	2	2	2	3	3	3	2	2	4	3	3	3	3	5	4	4	4	5	5	4	3	3	4	4	5	6	

672	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	2	2	2	2	2	2	2	1	1	2	

716	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	3	3	2	2	3	2	3	3	

720	2	2	3	3	3	2	3	2	4	3	2	3	3	3	2	3	4	3	3	3	3	3	2	3	3	4	3	3	4	

801	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	2	3	4	3	2	3	3	4	3	3	3	3	

829	2	3	4	3	1	2	3	2	1	2	2	2	4	4	4	3	4	4	4	4	4	3	3	4	4	4	3	3	4	

848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

922	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	

949	2	1	1	1	2	2	2	3	2	2	2	3	2	2	2	1	1	2	2	2	2	2	2	3	3	3	3	4	3	

962	1	2	2	2	1	2	2	3	2	2	2	2	2	1	2	1	4	3	4	4	5	5	4	5	3	4	4	4	5	

964	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	2	1	2	
